Date,Rn,Rg,RH,Ta,Pa,Tbc,P
2021-03-04 04:00:0,-34.42456,0.0,96.70166,6.885,1018.3635199999999,4.873333000000001,0.0
2021-03-04 04:30:0,-31.50992,0.0,97.00999,6.411666,1018.1108,4.654237,0.0
2021-03-04 05:00:0,-28.529390000000003,0.0,97.30166,6.153333,1017.8582,4.243333,0.0
2021-03-04 05:30:0,-26.675590000000003,0.0,97.55,5.784999,1017.55736,4.398333,0.0
2021-03-04 06:00:0,-24.76087,0.0,97.69499,5.506667,1017.54116,4.338333,0.0
2021-03-04 06:30:0,-22.95111,0.0,97.82999000000001,5.408333,1017.5331199999999,4.195,0.0
2021-03-04 07:00:0,-21.6193,0.0,97.90165999999999,5.383333,1017.4848800000001,4.206666,0.0
2021-03-04 07:30:0,-20.30322,0.0,97.91,5.33,1017.3669199999999,4.233333,0.0
2021-03-04 08:00:0,-11.09636,9.429105999999999,97.96333,5.066666000000001,1017.32384,3.495,0.0
2021-03-04 08:30:0,30.096940000000004,56.19559,98.01833,5.103333,1017.5015599999999,3.335,0.0
2021-03-04 09:00:0,100.568,136.3388,98.06666,5.523333,1017.4802,4.181666000000001,0.0
2021-03-04 09:30:0,166.2534,213.6121,98.01665,6.423333,1017.4446800000001,6.3099989999999995,0.0
2021-03-04 10:00:0,235.6035,297.9189,97.64166999999999,7.735,1017.4796,7.831666,0.0
2021-03-04 10:30:0,291.1331,394.5674,93.54666,9.161666,1017.30224,9.231666,0.0
2021-03-04 11:00:0,327.8332,462.8501,85.38499,11.10333,1016.99132,11.32,0.0
2021-03-04 11:30:0,360.2032,505.6776,77.90165999999999,12.51833,1016.7828800000001,13.01695,0.0
2021-03-04 12:00:0,418.0999,571.9079,69.785,13.945,1016.6093599999999,14.621670000000002,0.0
2021-03-04 12:30:0,459.783,619.2459,61.84333,15.285,1016.12,16.005,0.0
2021-03-04 13:00:0,474.2597,639.7798,57.465,16.17333,1015.83776,16.91,0.0
2021-03-04 13:30:0,466.9431,633.5273,54.946659999999994,16.85667,1015.5935599999999,17.58667,0.0
2021-03-04 14:00:0,452.5687,618.5348,51.72833,17.29,1015.3064,17.905,0.0
2021-03-04 14:30:0,453.1693,619.2523,49.91667,17.685,1014.79112,18.30333,0.0
2021-03-04 15:00:0,432.4057,593.6122,48.795,18.14667,1014.3322400000001,18.76666,0.0
2021-03-04 15:30:0,199.7413,319.8709,48.48833,17.86,1013.96192,18.14166,0.0
2021-03-04 16:00:0,370.0181,517.884,45.525,18.59167,1013.6640800000001,18.921670000000002,0.0
2021-03-04 16:30:0,353.8096,484.935,46.61333,18.92667,1013.492,19.365,0.0
2021-03-04 17:00:0,152.8129,263.6085,52.35667,18.30667,1013.2118,18.56333,0.0
2021-03-04 17:30:0,125.1755,242.6762,59.675,17.773329999999998,1012.9934,17.97167,0.0
2021-03-04 18:00:0,30.45202,138.0165,63.83,16.89,1012.8748400000001,16.88833,0.0
2021-03-04 18:30:0,-30.57058,62.6967,70.12,15.685,1013.0036,15.65,0.0
2021-03-04 19:00:0,-70.0405,11.69926,77.31499000000001,14.27167,1012.9499599999999,14.07,0.0
2021-03-04 19:30:0,-75.45049,0.0,82.93666,13.03167,1013.0184800000001,12.23167,0.0
2021-03-04 20:00:0,-71.88325999999999,0.0,85.55999,12.37833,1013.29532,10.918330000000001,0.0
2021-03-04 20:30:0,-71.72119,0.0,83.86333,11.89833,1013.4526400000001,9.933332,0.0
2021-03-04 21:00:0,-72.65611,0.0,79.29166,11.78833,1013.5010000000001,9.568333,0.0
2021-03-04 21:30:0,-69.92805,0.0,82.48666,11.02167,1013.5224800000001,8.724999,0.0
2021-03-04 22:00:0,-67.73544,0.0,85.21999,10.505,1013.5062800000001,7.94,0.0
2021-03-04 22:30:0,-65.80996999999999,0.0,89.68666,9.501666,1013.66996,7.466667,0.0
2021-03-04 23:00:0,-64.92714000000001,0.0,91.30166,9.066666,1013.8875199999999,6.916949000000001,0.0
2021-03-04 23:30:0,-62.859759999999994,0.0,93.09834000000001,8.643332000000001,1014.0021199999999,6.421667,0.0
2021-03-05 00:00:0,-54.497530000000005,0.0,94.71166,8.261666,1013.9268800000001,5.913333000000001,0.0
2021-03-05 00:30:0,-53.223169999999996,0.0,95.24166,7.866667,1013.78168,5.656666,0.0
2021-03-05 01:00:0,-55.513419999999996,0.0,94.52166,7.671667,1013.74136,5.889831,0.0
2021-03-05 01:30:0,-55.53111,0.0,93.20999,7.658333,1013.7144800000001,6.161666,0.0
2021-03-05 02:00:0,-59.2182,0.0,91.14833,7.846666,1013.7198800000001,6.513333,0.0
2021-03-05 02:30:0,-58.99139,0.0,89.98666,7.7083330000000005,1013.7198800000001,6.386666,0.0
2021-03-05 03:00:0,-59.306819999999995,0.0,89.16666,7.531667,1013.73872,6.015,0.0
2021-03-05 03:30:0,-59.17462,0.0,89.66166,7.18,1013.6284400000001,5.706666,0.0
2021-03-05 04:00:0,-57.33353,0.0,89.305,6.921667,1013.3786,5.425,0.0
2021-03-05 04:30:0,-54.0234,0.0,91.48167,6.35,1013.2710800000001,4.98,0.0
2021-03-05 05:00:0,-53.50433,0.0,93.62833,5.778333,1013.2604,4.7366660000000005,0.0
2021-03-05 05:30:0,-54.01493000000001,0.0,94.28166,5.681666000000001,1013.3222,4.456666,0.0
2021-03-05 06:00:0,-54.329530000000005,0.0,93.83666,5.411666,1013.4915199999999,4.048333,0.0
2021-03-05 06:30:0,-55.0167,0.0,94.41166,5.156667,1013.65268,3.76,0.0
2021-03-05 07:00:0,-58.189119999999996,0.0,94.93333,4.733333,1013.6984,3.558333,0.0
2021-03-05 07:30:0,-61.23497,0.0,95.01167,4.501666,1013.7057199999999,3.4766660000000003,0.0
2021-03-05 08:00:0,-55.867309999999996,9.330978,94.48,4.561666000000001,1013.75312,3.188333,0.0
2021-03-05 08:30:0,-11.77636,63.53943,94.14833,4.699999,1013.9960000000001,3.126667,0.0
2021-03-05 09:00:0,62.955380000000005,155.3389,93.04833,5.616667,1014.1142,4.256667,0.0
2021-03-05 09:30:0,163.7038,277.2132,85.84999,7.5433330000000005,1014.25592,6.745,0.0
2021-03-05 10:00:0,227.6831,354.3368,80.00667,8.771666999999999,1014.4590800000001,8.731666,0.0
2021-03-05 10:30:0,275.4908,412.3894,76.80999,9.544999,1014.7806800000001,9.768332000000001,0.0
2021-03-05 11:00:0,362.6323,512.9335,73.07333,10.52667,1014.5804,11.00833,0.0
2021-03-05 11:30:0,417.1175,573.311,70.85332,11.07,1014.4974800000001,11.796669999999999,0.0
2021-03-05 12:00:0,464.6359,624.8096,70.55666,11.31333,1014.6102800000001,12.373330000000001,0.0
2021-03-05 12:30:0,490.5476,654.7327,70.29166,11.42833,1014.7983199999999,12.51333,0.0
2021-03-05 13:00:0,503.3919,673.7782,67.93333,12.081669999999999,1014.7425199999999,13.173329999999998,0.0
2021-03-05 13:30:0,501.0857,671.6941,66.21166,12.28833,1014.5846,13.371670000000002,0.0
2021-03-05 14:00:0,470.4799,633.7251,65.055,12.635,1014.37784,13.538329999999998,0.0
2021-03-05 14:30:0,453.5488,603.2242,61.863330000000005,13.005,1014.23564,13.93167,0.035
2021-03-05 15:00:0,424.9413,562.9616,60.89666,13.163329999999998,1014.06116,14.031670000000002,0.0
2021-03-05 15:30:0,352.7481,496.8486,60.225,13.06,1014.0129199999999,13.788329999999998,0.0
2021-03-05 16:00:0,351.3949,495.5132,59.065,13.265,1013.92436,14.041670000000002,0.0
2021-03-05 16:30:0,268.1247,410.3492,58.511669999999995,13.118329999999998,1013.95388,13.611670000000002,0.0
2021-03-05 17:00:0,206.8809,336.2134,57.60833,13.0,1014.1416800000001,13.35167,0.0
2021-03-05 17:30:0,66.39201,168.1502,59.01,12.545,1014.26456,12.75833,0.0
2021-03-05 18:00:0,62.53483000000001,143.7619,60.66666,12.16333,1014.33344,12.35167,0.0
2021-03-05 18:30:0,-28.284409999999998,63.850809999999996,63.903330000000004,11.27,1014.79616,11.33333,0.0
2021-03-05 19:00:0,-74.3284,13.115520000000002,67.25,10.375,1015.16576,10.25,0.0
2021-03-05 19:30:0,-87.01146999999999,0.0,69.36166,9.513333,1015.41584,9.238333,0.0
2021-03-05 20:00:0,-85.40513,0.0,72.27,8.663333,1015.8670400000001,8.376666,0.0
2021-03-05 20:30:0,-84.58524,0.0,74.19833,8.096666,1016.12264,7.716666,0.0
2021-03-05 21:00:0,-83.66291,0.0,75.99833000000001,7.648333,1016.5532,7.34,0.0
2021-03-05 21:30:0,-82.13029,0.0,78.70999,6.996666,1016.83976,6.5833330000000005,0.0
2021-03-05 22:00:0,-81.82378,0.0,79.255,6.608333,1017.1004,6.08,0.0
2021-03-05 22:30:0,-79.22955,0.0,81.31499000000001,6.0266660000000005,1017.3852800000001,5.388333,0.0
2021-03-05 23:00:0,-76.69106,0.0,83.54666,5.498333000000001,1017.56804,4.3271180000000005,0.0
2021-03-05 23:30:0,-73.89392,0.0,85.70833,5.041666,1017.5841199999999,3.0083330000000004,0.0
2021-03-06 00:00:0,-72.41901,0.0,88.49833000000001,4.409999,1017.5844800000001,2.288333,0.0
2021-03-06 00:30:0,-71.28081,0.0,90.58833,3.7633330000000003,1017.83336,2.038333,0.0
2021-03-06 01:00:0,-70.35064,0.0,92.75333,2.921666,1017.77048,1.925,0.0
2021-03-06 01:30:0,-38.13832,0.33004520000000004,93.01833,2.9716669999999996,1017.78344,1.6616669999999998,0.0
2021-03-06 02:00:0,-7.5596380000000005,0.6705199000000001,92.12167,3.505,1017.82748,2.648333,0.0
2021-03-06 02:30:0,-7.139225,0.6041613,90.73666,4.136667,1017.85736,3.69,0.0
2021-03-06 03:00:0,-8.652134,0.6468815,88.74999,4.63,1017.68384,4.286666,0.0
2021-03-06 03:30:0,-10.44994,0.7194768,85.61667,5.12,1017.5554400000001,4.898333,0.0
2021-03-06 04:00:0,-12.21291,0.3946423,83.22499,5.366667,1017.5306,5.288136,0.0
2021-03-06 04:30:0,-13.18971,0.07468852,80.69666,5.52,1017.4499599999999,5.5033330000000005,0.0
2021-03-06 05:00:0,-15.07107,0.0,80.01666999999999,5.506667,1017.51188,5.506667,0.0
2021-03-06 05:30:0,-18.831210000000002,0.0,78.91833000000001,5.46,1017.5306,5.485,0.0
2021-03-06 06:00:0,-17.76435,0.0,78.68333,5.39,1017.6596,5.409999,0.0
2021-03-06 06:30:0,-15.588820000000002,0.0,79.41666,5.293334,1017.8610800000001,5.3216660000000005,0.0
2021-03-06 07:00:0,-14.3438,0.0,81.29666,5.17,1018.1836400000001,5.213333,0.0
2021-03-06 07:30:0,-13.947020000000002,0.09101063,81.84834000000001,5.038333000000001,1018.2588800000001,5.096666,0.0
2021-03-06 08:00:0,-8.929426,5.842033,82.98666,4.92,1018.39856,5.011666,0.0
2021-03-06 08:30:0,7.280529,25.35489,82.17333,4.933333,1018.5678800000001,5.108333,0.0
2021-03-06 09:00:0,30.276659999999996,51.975809999999996,81.58499,5.07,1018.84196,5.311666000000001,0.0
2021-03-06 09:30:0,55.214690000000004,80.8661,80.28833,5.348333,1019.1644,5.608333,0.0
2021-03-06 10:00:0,83.84053,114.4017,78.47832,5.673333,1019.3471599999999,6.001666,0.0
2021-03-06 10:30:0,126.5563,165.1906,76.62666,6.131667,1019.38484,6.559999,0.0
2021-03-06 11:00:0,152.3466,196.44299999999998,70.79333000000001,6.728333,1019.4209599999999,7.211666999999999,0.0
2021-03-06 11:30:0,287.6892,366.9985,66.61,7.141666000000001,1019.30696,7.786666,0.0
2021-03-06 12:00:0,301.1346,373.5376,65.54666,7.636666,1019.1646400000001,8.383333,0.0
2021-03-06 12:30:0,274.9656,342.1382,65.43666999999999,7.768333,1019.1863599999999,8.495,0.0
2021-03-06 13:00:0,221.2653,283.7359,65.36,7.693333,1019.1783199999999,8.361667,0.0
2021-03-06 13:30:0,216.2454,270.7559,66.73167,7.78,1019.16752,8.343333,0.0
2021-03-06 14:00:0,255.4746,319.6148,65.71,8.083333,1018.80764,8.730508,0.0
2021-03-06 14:30:0,305.7716,385.909,64.42833,8.426666,1018.41836,9.111666,0.0
2021-03-06 15:00:0,256.2384,329.3987,63.535,8.846666,1018.1389999999999,9.434999000000001,0.0
