Freq [GHz],"dB(S(1,1))_1 [] - $eps1='1' $eps2='0'","dB(S(1,1))_1 [] - $eps1='2' $eps2='0.1'","dB(S(1,1))_1 [] - $eps1='3' $eps2='0.2'","dB(S(1,1))_1 [] - $eps1='4' $eps2='0.3'","dB(S(1,1))_1 [] - $eps1='5' $eps2='0.6'","dB(S(1,1))_1 [] - $eps1='6' $eps2='0.9'","dB(S(1,1))_1 [] - $eps1='7' $eps2='1.1'","dB(S(1,1))_1 [] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='1' $eps2='0'","arg(S(1,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(1,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'"
0.939921722113503,-2.39914182468,-2.54147769780528,-2.68845730708868,-2.70499876087294,-2.76475458865821,-2.81437841698304,-2.78021869281767,-2.80323753166891,132.112447858775,126.080800733585,122.28197491986,120.726998595969,118.867121342304,117.759058366237,117.241096700962,116.118674636898
0.94559686888454,-2.40931805210484,-2.56164030376419,-2.71225855882763,-2.73067161692832,-2.79951231263455,-2.85222735869326,-2.81875682410627,-2.8431767338609,130.309376944017,124.190029251036,120.563960118501,118.898038210937,117.069946351212,115.952755768025,115.427887910798,114.282948041559
0.951272015655577,-2.42076709291793,-2.58703084373099,-2.73372440484025,-2.75997097522799,-2.83620307680001,-2.89183706663725,-2.85930932699703,-2.88540203818997,128.499070020282,122.287291891117,118.820643704495,117.048374785054,115.260751237501,114.134430637756,113.603585581134,112.433520393009
0.956947162426614,-2.43347288085512,-2.61760853812927,-2.75423550917619,-2.79328488293925,-2.87482595203908,-2.93323094774393,-2.90181076206806,-2.92993619237347,126.680549658217,120.378437619867,117.043262411042,115.181848808814,113.439259658503,112.302937892864,111.767469097187,110.570518206033
0.962622309197652,-2.44742769152416,-2.65308377085682,-2.77541241414628,-2.83085449664657,-2.91535807317451,-2.97647476433543,-2.94623118814338,-2.9767738224403,124.852861490813,118.469166018784,115.228098207574,113.303228823186,111.605070021872,110.457188095392,109.918590531671,108.69392585469
0.968297455968689,-2.46263168507002,-2.6929161449977,-2.79873795190868,-2.87265729046932,-2.95776837865577,-3.02166909019333,-2.99258514938009,-3.02589541025917,123.015081208109,116.564676977344,113.375817107996,111.418322667576,109.757549490892,108.596235582918,108.055899248722,106.803529826732
0.973972602739726,-2.47909210394265,-2.73631768737221,-2.8253550788187,-2.91824840757426,-3.00204122366826,-3.06893824655813,-3.04093169676666,-3.07728248181933,121.166316056944,114.669248634227,111.489910695961,109.533319147214,107.895799661508,106.71934008708,106.178370994761,104.898908959614
0.979647749510763,-2.49682269607119,-2.78227205070778,-2.85603591132427,-2.96666448745296,-3.04820059825782,-3.11841707184258,-3.09136653372903,-3.13093103286184,119.305710270211,112.78571974968,109.575173069185,107.653168871163,106.01872748147,104.82599801173,104.285117276993,102.979467077036
0.9853228962818,-2.51584230836176,-2.82958448221299,-2.89124889056128,-3.01651229666612,-3.0963243924661,-3.17023703588821,-3.14400866036275,-3.18686081562806,117.432449221551,110.914905717534,107.636719233381,105.779390323909,104.125204564916,102.915939593052,102.375456665544,101.044497005318
0.990998043052837,-2.53617424803293,-2.87697589381474,-2.93124626862149,-3.06630316369933,-3.14654254407846,-3.22451367867091,-3.19898474209658,-3.24511916352231,115.545756741646,109.055052380849,105.679614855416,103.908366777152,102.214255182561,100.98909045852,100.448938569029,99.0932597025511
